ID,comp/hr
1,35
2,49
3,47
4,51
5,25
6,48
7,41
8,46
9,42
10,42
11,55
12,31
13,48
14,34
15,31
16,42
17,29
18,38
19,48
20,43
21,34
22,44
23,51
24,45
25,31
26,45
27,48
28,39
29,51
30,51
31,28
32,47
33,53
34,51
35,28
36,40
37,29
38,50
39,51
40,33
41,51
42,32
43,37
44,42
45,48
46,43
47,28
48,51
49,42
50,45
51,39
52,42
53,22
54,55
55,40
56,49
57,55
58,34
59,31
60,25
61,40
62,55
63,30
64,40
65,28
66,30
67,43
68,55
69,36
70,34
71,34
72,34
73,40
74,25
75,55
76,35
77,27
78,47
79,53
80,25
81,45
82,42
83,41
84,46
85,26
86,37
87,38
88,22
89,54
90,30
91,55
92,50
93,35
94,39
95,45
96,46
97,55
98,35
99,33
100,48
101,49
102,22
103,28
104,52
105,50
106,39
107,50
108,37
109,38
110,36
111,41
112,22
113,29
114,24
115,30
116,26
117,26
118,30
119,45
120,52
121,22
122,27
123,55
124,33
125,41
126,50
127,52
128,40
129,30
130,47
131,29
132,47
133,43
134,51
135,53
136,43
137,31
138,44
139,50
140,52
141,42
142,26
143,51
144,46
145,43
146,43
147,43
148,36
149,54
150,32
151,23
152,24
153,31
154,34
155,48
156,53
157,25
158,48
159,55
160,23
161,30
162,44
163,47
164,32
165,52
166,33
167,43
168,52
169,39
170,44
171,38
172,55
173,54
174,36
175,27
176,55
177,33
178,37
179,26
180,46
181,49
182,49
183,37
184,37
185,50
186,46
187,32
188,25
189,22
190,35
191,24
192,42
193,37
194,29
195,55
196,53
197,42
198,24
199,37
200,48
201,40
202,46
203,52
204,39
205,31
206,40
207,39
208,43
209,55
210,47
211,27
212,45
213,31
214,51
215,42
216,35
217,42
218,40
219,50
220,25
221,22
222,39
223,50
224,25
225,24
226,44
227,45
228,37
229,48
230,39
231,39
232,55
233,53
234,23
235,41
236,29
237,48
238,43
239,53
240,48
241,31
242,45
243,30
244,30
245,36
246,50
247,30
248,26
249,33
250,36
251,33
252,24
253,36
254,33
255,39
256,24
257,47
258,43
259,45
260,54
261,47
262,44
263,50
264,22
265,55
266,43
267,48
268,37
269,42
270,45
271,54
272,42
273,43
274,24
275,39
276,32
277,34
278,32
279,40
280,51
281,39
282,33
283,27
284,27
285,36
286,49
287,53
288,47
289,45
290,55
291,24
292,35
293,24
294,24
295,38
296,24
297,36
298,41
299,22
300,48
301,23
302,29
303,31
304,42
305,30
306,36
307,44
308,25
309,43
310,38
311,42
312,50
313,29
314,53
315,47
316,37
317,50
318,24
319,45
320,24
321,30
322,42
323,55
324,32
325,40
326,29
327,33
328,42
329,51
330,34
331,41
332,26
333,38
334,41
335,55
336,49
337,42
338,51
339,46
340,40
341,32
342,47
343,41
344,45
345,23
346,47
347,37
348,35
349,22
350,38
351,23
352,54
353,47
354,23
355,29
356,46
357,34
358,51
359,49
360,30
361,40
362,28
363,44
364,43
365,33
366,23
367,49
368,39
369,52
370,36
371,32
372,39
373,38
374,38
375,37
376,38
377,37
378,55
379,46
380,45
381,39
382,37
383,22
384,41
385,39
386,32
387,48
388,22
389,41
390,47
391,34
392,46
393,41
394,34
395,35
396,25
397,49
398,54
399,43
400,34
401,42
402,34
403,29
404,46
405,52
406,22
407,23
408,27
409,47
410,36
411,26
412,54
413,25
414,39
415,34
416,36
417,47
418,40
419,45
420,37
421,52
422,34
423,33
424,25
425,54
426,26
427,28
428,51
429,49
430,50
431,47
432,28
433,39
434,34
435,36
436,25
437,50
438,26
439,30
440,30
441,52
442,42
443,52
444,31
445,37
446,25
447,46
448,33
449,42
450,31
451,33
452,53
453,38
454,22
455,41
456,49
457,43
458,27
459,26
460,38
461,26
462,23
463,33
464,52
465,55
466,42
467,32
468,27
469,47
470,39
471,27
472,39
473,39
474,23
475,41
476,49
477,31
478,25
479,22
480,47
481,30
482,54
483,32
484,24
485,53
486,29
487,45
488,35
489,40
490,42
491,50
492,33
493,23
494,38
495,27
496,50
497,43
498,54
499,42
500,50
501,45
502,45
503,38
504,50
505,32
506,49
507,44
508,40
509,53
510,27
511,39
512,54
513,25
514,40
515,41
516,47
517,31
518,41
519,27
520,49
521,51
522,55
523,47
524,26
525,39
526,46
527,22
528,30
529,46
530,33
531,25
532,23
533,37
534,50
535,33
536,45
537,27
538,41
539,40
540,47
541,43
542,41
543,50
544,37
545,37
546,44
547,24
548,27
549,30
550,33
551,27
552,37
553,54
554,40
555,41
556,24
557,39
558,22
559,51
560,40
561,24
562,27
563,35
564,55
565,26
566,43
567,26
568,24
569,40
570,31
571,31
572,24
573,46
574,50
575,37
576,45
577,44
578,41
579,39
580,23
581,27
582,22
583,45
584,46
585,29
586,33
587,55
588,30
589,28
590,26
591,37
592,50
593,49
594,24
595,53
596,54
597,34
598,54
599,34
600,25
601,26
602,35
603,48
604,45
605,32
606,36
607,43
608,48
609,50
610,55
611,35
612,41
613,37
614,44
615,36
616,30
617,51
618,29
619,26
620,28
621,23
622,50
623,28
624,39
625,29
626,26
627,29
628,23
629,26
630,26
631,35
632,41
633,47
634,52
635,27
636,45
637,24
638,40
639,26
640,38
641,46
642,43
643,37
644,39
645,22
646,52
647,46
648,45
649,51
650,39
651,31
652,50
653,53
654,35
655,51
656,42
657,33
658,35
659,48
660,26
661,42
662,41
663,29
664,31
665,28
666,46
667,25
668,28
669,32
670,34
671,45
672,43
673,31
674,46
675,22
676,23
677,47
678,33
679,51
680,42
681,47
682,32
683,44
684,23
685,47
686,36
687,36
688,33
689,39
690,34
691,51
692,42
693,22
694,49
695,51
696,55
697,37
698,31
699,46
700,29
701,55
702,43
703,35
704,46
705,54
706,24
707,48
708,48
709,38
710,52
711,38
712,46
713,38
714,40
715,52
716,34
717,33
718,36
719,52
720,44
721,22
722,23
723,26
724,24
725,52
726,48
727,50
728,40
729,31
730,40
731,41
732,40
733,46
734,29
735,31
736,55
737,26
738,48
739,42
740,55
